,experiment462,experiment461,experiment460,experiment459,experiment458,experiment457,experiment456,experiment455,experiment454,experiment453,experiment452,experiment451,experiment450,experiment449,experiment448,experiment447,experiment446,experiment445,experiment444,experiment443,experiment442,experiment441,experiment440,experiment439,experiment438,experiment437,experiment436,experiment435,experiment434,experiment433,experiment432,experiment431,experiment430,experiment429,experiment428,experiment427,experiment426,experiment425,experiment424,experiment423,experiment422,experiment421,experiment420,experiment419,experiment418,experiment417,experiment416,experiment415,experiment414,experiment413,experiment412,experiment411,experiment410,experiment409,experiment408,experiment407,experiment406,experiment405,experiment404,experiment403,experiment402,experiment401,experiment400,experiment399,experiment398,experiment397,experiment396,experiment395,experiment394,experiment393,experiment392,experiment391,experiment390,experiment389,experiment388,experiment387,experiment386,experiment385,experiment384,experiment383,experiment382,experiment381,experiment380,experiment379,experiment378,experiment377,experiment376,experiment375,experiment374,experiment373,experiment372,experiment371,experiment370,experiment369,experiment368,experiment367,experiment366,experiment365,experiment364,experiment363,experiment362,experiment361,experiment360,experiment359,experiment358,experiment357,experiment356,experiment355,experiment354,experiment353,experiment352,experiment351,experiment350,experiment349,experiment348,experiment347,experiment346,experiment345,experiment344,experiment343,experiment342,experiment341,experiment340,experiment339,experiment338,experiment337,experiment336,experiment335,experiment334,experiment333,experiment332,experiment331,experiment330,experiment329,experiment328,experiment327,experiment326,experiment325,experiment324,experiment323,experiment322,experiment321,experiment320,experiment319,experiment318,experiment317,experiment316,experiment315,experiment314,experiment313,experiment312,experiment311,experiment310,experiment309,experiment308,experiment307,experiment306,experiment305,experiment304,experiment303,experiment302,experiment301,experiment300,experiment299,experiment298,experiment297,experiment296,experiment295,experiment294,experiment293,experiment292,experiment291,experiment290,experiment289,experiment288,experiment287,experiment286,experiment285,experiment284,experiment283,experiment282,experiment281,experiment280,experiment279,experiment278,experiment277,experiment276,experiment275,experiment274,experiment273,experiment272,experiment271,experiment270,experiment269,experiment268,experiment267,experiment266,experiment265,experiment264,experiment263,experiment262,experiment261,experiment260,experiment259,experiment258,experiment257,experiment256,experiment255,experiment254,experiment253,experiment252,experiment251,experiment250,experiment249,experiment248,experiment247,experiment246,experiment245,experiment244,experiment243,experiment242,experiment241,experiment240,experiment239,experiment238,experiment237,experiment236,experiment235,experiment234,experiment233,experiment232,experiment231,experiment230,experiment229,experiment228,experiment227,experiment226,experiment225,experiment224,experiment223,experiment222,experiment221,experiment220,experiment219,experiment218,experiment217,experiment216,experiment215,experiment214,experiment213,experiment212,experiment211,experiment210,experiment209,experiment208,experiment207,experiment206,experiment205,experiment204,experiment203,experiment202,experiment201,experiment200,experiment199,experiment198,experiment197,experiment196,experiment195,experiment194,experiment193,experiment192,experiment191,experiment190,experiment189,experiment188,experiment187,experiment186,experiment185,experiment184,experiment183,experiment182,experiment181,experiment180,experiment179,experiment178,experiment177,experiment176,experiment175,experiment174,experiment173,experiment172,experiment171,experiment170,experiment169,experiment168,experiment167,experiment166,experiment165,experiment164,experiment163,experiment162,experiment161,experiment160,experiment159,experiment158,experiment157,experiment156,experiment155,experiment154,experiment153,experiment152,experiment151,experiment150,experiment149,experiment148,experiment147,experiment146,experiment145,experiment144,experiment143,experiment142,experiment141,experiment140,experiment139,experiment138,experiment137,experiment136,experiment135,experiment134,experiment133,experiment132,experiment131,experiment130,experiment129,experiment128,experiment127,experiment126,experiment125,experiment124,experiment123,experiment122,experiment121,experiment120,experiment119,experiment118,experiment117,experiment116,experiment115,experiment114,experiment113,experiment112,experiment111,experiment110,experiment109,experiment108,experiment107,experiment106,experiment105,experiment104,experiment103,experiment102,experiment101,experiment100,experiment99,experiment98,experiment97,experiment96,experiment95,experiment94,experiment93,experiment92,experiment91,experiment90,experiment89,experiment88,experiment87,experiment86,experiment85,experiment84,experiment83,experiment82,experiment81,experiment80,experiment79,experiment78,experiment77,experiment76,experiment75,experiment74,experiment73,experiment72,experiment71,experiment70,experiment69,experiment68,experiment67,experiment66,experiment65,experiment64,experiment63,experiment62,experiment61,experiment60,experiment59,experiment58,experiment57,experiment56,experiment55,experiment54,experiment53,experiment52,experiment51,experiment50,experiment49,experiment48,experiment47,experiment46,experiment45,experiment44,experiment43,experiment42,experiment41,experiment40,experiment39,experiment38,experiment37,experiment36,experiment35,experiment34,experiment33,experiment32,experiment31,experiment30,experiment29,experiment28,experiment27,experiment26,experiment25,experiment24,experiment23,experiment22,experiment21,experiment20,experiment19,experiment18,experiment17,experiment16,experiment15,experiment14,experiment13,experiment12,experiment11,experiment10,experiment9,experiment8,experiment7,experiment6,experiment5,experiment4,experiment3,experiment2,experiment1,experiment0
33,58,42,34,36,22,61,35,39,16,38,52,28,51,9,38,15,56,48,18,23,59,52,14,46,21,30,28,48,6,39,50,58,34,9,13,44,56,56,35,54,43,7,48,20,44,55,31,58,33,40,56,26,40,40,38,44,65,32,54,30,40,48,36,51,40,35,40,38,40,23,47,57,14,60,58,22,27,44,32,51,10,40,52,48,48,29,38,26,18,58,51,39,41,56,50,54,40,31,42,63,25,10,30,46,21,47,56,29,30,40,22,51,54,26,30,39,19,51,56,57,23,29,28,40,38,24,64,58,28,53,40,35,24,57,53,53,52,52,27,23,36,42,42,39,38,23,53,41,38,64,50,16,58,56,23,62,46,61,62,40,51,47,19,56,45,48,50,59,48,60,56,48,42,6,53,57,23,43,42,59,36,23,45,26,34,22,12,54,22,61,59,42,21,55,57,52,48,50,40,60,49,17,58,55,41,58,48,20,31,43,62,28,58,8,53,46,49,40,56,53,53,40,36,49,58,49,31,56,48,38,52,15,27,58,13,18,38,9,25,27,53,56,19,48,37,55,49,42,19,15,48,46,33,13,55,45,43,51,51,37,16,42,36,25,60,15,58,42,55,33,45,42,21,4,41,36,19,40,25,39,40,7,17,58,10,21,19,60,56,50,36,12,42,39,49,53,10,5,20,36,7,62,12,7,48,6,39,40,59,21,33,43,9,65,52,41,13,49,40,28,44,25,41,51,4,13,38,55,30,39,59,58,65,34,46,14,60,60,13,54,31,43,41,36,6,39,29,19,16,60,50,38,13,56,25,43,37,27,21,64,42,8,17,56,29,42,13,48,63,20,24,12,51,57,15,54,44,40,43,20,22,59,24,48,26,53,40,26,23,35,24,13,51,44,21,41,9,38,24,44,44,37,54,54,49,62,40,5,61,40,58,32,19,46,24,53,53,42,33,8,33,45,13,30,38,36,44,34,51,55,51,44,57,57,46,12,37,33,54,47,29,55,33,11,24,55,22,30,8,50,57,54,4,40,16,54,46,62,58,49,41,3,23
34,58,42,35,38,26,61,47,41,14,35,50,56,51,14,43,21,54,44,16,23,59,37,14,48,56,32,21,48,16,44,52,59,32,10,13,44,58,56,37,7,46,22,49,14,45,56,25,55,34,41,36,6,42,42,31,61,66,38,54,18,44,48,36,54,40,60,32,38,44,30,39,58,16,56,58,23,39,46,30,51,12,42,53,48,44,31,37,26,19,59,51,42,35,57,56,56,40,31,48,60,27,25,32,48,48,48,52,21,38,43,16,51,55,9,30,39,17,55,56,57,21,27,28,41,40,24,63,64,28,46,40,37,25,55,54,53,48,53,35,16,46,23,35,50,51,43,35,42,44,34,35,42,58,58,18,54,45,54,62,38,53,37,19,63,27,50,48,60,44,60,56,48,42,6,53,59,23,43,42,53,11,19,41,10,34,15,40,40,21,61,56,39,63,56,58,52,52,50,11,39,50,57,38,56,42,61,30,24,31,57,64,44,60,8,53,46,49,39,62,56,55,53,34,53,61,50,31,56,48,38,60,15,8,32,13,10,7,43,54,36,54,59,40,48,47,55,55,40,46,55,29,55,32,41,56,39,44,15,59,49,5,39,23,27,59,55,60,40,55,38,45,42,8,48,41,38,19,52,21,41,41,7,58,31,15,54,19,10,56,15,51,41,46,36,49,60,22,5,29,56,49,58,20,7,48,58,40,40,16,38,37,38,32,55,51,42,12,49,41,29,54,10,49,30,46,14,40,56,42,39,61,57,31,43,47,12,55,64,14,61,31,37,42,36,6,31,29,59,20,38,53,46,52,56,25,43,37,14,25,59,43,15,23,60,60,13,13,43,26,30,24,55,49,23,19,54,45,21,28,18,48,42,23,52,29,55,62,23,21,35,24,15,53,44,11,43,10,49,24,52,48,28,60,34,56,63,45,20,65,42,52,32,19,15,62,55,53,24,23,8,36,21,15,30,39,42,42,35,48,58,29,48,13,58,39,24,37,52,54,63,20,51,36,11,24,58,22,30,46,44,57,54,41,28,12,58,32,64,58,47,46,3,22
35,56,62,35,38,48,61,34,39,16,38,50,29,53,9,39,34,54,21,50,23,56,40,12,50,60,62,20,51,16,42,54,61,32,10,13,45,61,19,40,55,46,55,47,18,45,57,25,58,32,11,58,27,47,35,36,44,67,31,55,60,44,48,23,20,24,61,46,56,62,20,41,45,16,40,36,23,48,48,30,53,16,42,51,33,45,31,38,26,19,60,51,42,34,59,56,33,40,39,45,61,52,32,26,46,48,49,35,16,46,43,22,58,38,9,30,29,26,51,56,59,21,29,27,40,42,24,64,28,23,47,36,45,25,59,39,53,55,58,27,24,44,30,42,50,54,23,36,16,10,32,39,44,58,59,20,64,46,51,29,44,53,37,19,58,52,51,45,60,42,23,60,35,39,6,53,46,41,58,56,56,12,15,31,9,38,30,45,3,55,57,57,43,64,56,61,54,50,46,7,43,50,57,60,57,46,63,50,20,61,53,63,38,58,8,59,48,55,39,31,55,55,56,27,53,19,45,31,57,12,40,54,13,50,15,9,10,26,44,52,52,55,59,40,48,46,49,57,40,19,49,39,55,32,34,57,39,45,15,12,38,5,46,20,27,64,55,60,42,8,34,49,36,53,50,41,38,45,54,66,47,40,7,58,24,30,54,58,62,35,53,41,12,48,39,49,54,25,7,39,38,51,64,20,53,48,14,40,42,16,3,35,23,32,67,43,42,12,49,49,27,55,15,49,32,48,28,41,56,45,60,59,57,30,55,47,6,60,62,13,61,30,44,42,41,6,10,28,19,23,62,50,46,52,14,21,44,27,17,13,27,47,15,19,56,30,13,16,43,22,38,24,32,49,25,17,56,36,41,29,5,50,61,12,41,40,56,40,45,20,49,26,22,49,42,11,42,53,54,22,52,42,29,28,55,54,65,45,49,63,38,57,5,27,16,62,57,34,24,24,7,36,21,11,28,40,41,42,35,50,35,29,49,13,6,43,45,36,53,57,64,60,66,42,11,36,57,22,31,12,52,59,52,52,28,20,58,32,65,54,50,47,8,26
36,56,62,35,40,15,61,36,47,16,37,52,56,51,9,43,36,55,22,67,24,56,52,14,50,61,50,20,54,6,44,52,59,36,10,13,48,57,52,22,42,46,58,49,14,46,57,19,60,32,11,48,28,47,40,48,46,67,35,55,60,44,47,22,59,42,29,46,38,64,55,14,51,5,40,54,21,30,48,30,53,12,42,53,33,17,28,40,36,20,60,51,42,34,60,56,58,38,33,31,19,52,32,33,48,49,43,54,51,32,44,22,58,55,9,31,57,20,14,54,59,17,30,27,41,41,58,62,22,23,48,38,43,19,61,38,53,49,59,59,22,44,42,54,43,54,23,29,17,10,42,42,48,5,60,22,55,51,55,23,38,53,42,19,58,60,53,45,60,46,38,58,49,41,6,51,58,25,59,57,67,12,24,31,14,54,19,44,3,39,57,56,36,64,58,62,54,50,46,7,41,46,18,64,61,43,63,46,20,31,63,23,14,59,8,52,23,52,41,58,50,57,57,28,57,63,32,38,60,50,40,60,22,51,32,25,18,7,9,52,52,55,58,19,48,52,14,51,38,18,54,25,47,34,32,55,41,35,15,61,45,5,47,20,12,59,41,60,31,50,28,49,64,55,28,35,41,26,54,22,48,58,7,60,62,40,60,19,9,35,60,19,12,41,39,50,56,16,5,41,38,51,64,26,52,10,57,41,15,61,23,39,23,44,67,25,42,13,50,50,28,7,15,58,34,52,28,45,57,43,56,59,58,43,45,35,12,60,50,12,46,23,44,44,41,34,13,35,59,32,39,54,46,15,36,26,37,23,19,21,20,48,17,17,57,61,14,14,36,25,41,24,28,47,51,15,58,30,44,33,7,52,61,12,31,30,55,42,66,67,50,24,4,53,40,13,55,41,54,26,54,44,39,58,57,56,65,43,22,65,44,62,32,27,16,64,59,39,24,24,10,37,28,11,30,22,42,4,24,53,35,30,53,57,7,42,62,37,54,55,65,61,67,41,12,36,59,22,31,12,46,59,52,50,38,12,55,35,66,56,50,15,10,26
37,58,62,35,42,22,62,47,42,22,37,56,32,51,9,41,34,43,44,11,24,62,65,16,52,60,52,40,56,17,38,52,7,15,10,13,44,47,21,46,5,48,57,49,14,45,55,19,55,40,65,60,29,49,27,48,47,68,35,56,60,42,9,36,67,9,63,30,60,64,36,59,54,20,41,58,19,41,48,9,55,60,41,50,54,23,31,39,26,21,58,36,49,15,60,57,35,44,17,46,19,51,54,27,44,60,50,54,57,32,44,16,54,15,9,31,57,21,14,58,59,18,33,26,41,41,22,66,40,23,22,32,37,25,57,39,55,59,60,22,23,46,42,43,38,53,36,20,17,10,44,40,17,60,60,42,61,48,45,20,3,53,43,15,59,54,53,48,60,46,9,59,50,26,6,51,32,50,58,60,61,38,28,31,14,41,20,3,3,22,56,58,42,11,64,62,54,41,52,7,41,46,59,19,62,13,59,46,20,61,63,63,35,60,8,52,23,52,41,31,58,57,57,28,59,9,52,42,59,51,41,60,22,49,14,21,10,5,53,58,52,43,59,11,48,47,59,57,38,21,56,48,47,52,31,58,42,34,15,9,42,5,41,34,12,59,15,61,18,43,8,49,35,55,50,35,41,26,38,20,42,10,36,65,66,40,18,21,34,39,62,19,11,41,40,52,57,10,5,28,36,53,65,40,66,11,61,17,11,61,38,40,59,30,54,25,42,14,41,43,28,5,16,39,33,52,14,45,58,40,51,51,42,44,45,36,12,46,45,12,62,11,43,46,43,34,11,30,61,35,27,54,46,35,28,21,39,31,17,11,20,49,52,17,57,61,45,12,36,67,48,20,12,47,25,36,58,35,11,58,7,50,46,12,44,42,54,42,50,68,58,24,4,51,46,27,63,54,56,26,52,36,39,56,63,60,52,42,53,65,44,63,34,19,49,64,40,40,30,27,10,38,28,11,30,40,41,28,3,50,60,31,51,31,7,43,52,37,50,6,65,61,58,42,12,34,60,21,31,62,40,59,52,50,32,12,59,34,47,54,48,9,10,24
38,58,64,35,41,27,61,36,39,56,38,48,28,50,60,46,34,51,11,15,25,67,65,33,58,65,34,42,56,11,44,54,25,15,11,13,50,59,57,46,62,59,62,49,14,40,59,25,57,41,66,50,29,49,29,33,48,69,21,47,60,7,9,24,54,41,40,29,9,62,23,50,55,15,42,58,19,41,46,9,56,41,31,3,54,48,38,40,27,20,55,61,37,15,58,62,37,48,23,35,27,56,20,69,45,60,63,54,38,17,45,16,60,17,9,48,55,26,12,66,57,17,42,12,42,42,19,68,48,23,48,49,38,25,59,50,55,68,55,59,23,38,44,28,49,56,19,66,17,34,68,68,44,40,48,23,61,50,21,26,3,31,43,17,62,54,53,48,61,46,24,62,50,41,55,51,25,24,50,60,61,38,28,32,9,48,15,44,7,22,56,56,46,19,60,62,51,7,54,13,42,50,59,20,41,13,65,46,20,32,63,35,62,62,8,44,23,52,41,29,58,58,58,58,60,23,50,31,12,52,41,62,22,54,15,21,21,3,9,54,54,55,59,11,21,14,58,56,38,15,56,61,56,54,52,52,41,35,15,9,42,6,41,18,13,69,15,63,15,18,38,43,42,55,52,27,42,30,56,20,47,10,35,61,62,38,18,22,5,59,62,6,12,44,37,52,58,16,44,57,36,54,65,35,55,30,61,42,15,62,3,45,59,41,58,29,42,15,21,41,29,29,16,25,33,49,18,45,59,49,44,57,43,32,45,48,12,62,47,12,62,11,14,47,66,34,15,30,21,35,51,50,32,35,28,23,38,66,19,11,20,51,52,45,57,53,12,26,38,67,64,24,43,60,24,36,49,30,11,58,19,52,65,3,48,25,55,44,26,34,58,26,4,55,46,27,65,45,56,28,60,40,39,56,63,61,67,42,59,67,42,64,34,38,50,22,56,54,24,37,10,37,11,60,14,40,42,29,39,49,61,55,53,57,58,45,52,37,52,6,67,34,54,38,11,34,49,21,31,9,48,60,39,52,38,12,54,54,47,54,48,49,5,32
39,58,66,11,41,24,63,36,34,17,40,48,14,63,60,45,39,52,40,23,43,62,67,24,58,64,33,38,56,16,45,54,57,17,43,13,43,65,60,46,66,60,62,54,12,46,60,19,62,33,67,50,29,49,48,52,50,70,15,8,60,69,50,34,70,3,62,30,67,61,23,59,54,26,62,62,44,56,46,7,57,41,46,3,55,49,40,51,20,7,56,59,38,9,60,62,37,49,47,47,65,63,17,48,51,60,57,54,57,19,54,54,61,59,3,31,39,26,16,62,61,17,29,54,43,41,60,41,58,24,22,45,40,21,59,53,55,60,55,26,23,38,23,58,54,43,34,69,17,37,67,38,44,60,62,19,62,54,29,26,13,32,43,9,60,31,53,49,56,12,37,64,36,26,57,53,25,50,59,60,58,13,28,34,8,48,21,3,7,62,30,60,60,19,64,62,45,52,49,32,45,52,61,20,42,19,61,52,22,63,63,47,26,62,8,44,32,53,42,18,60,53,58,59,55,32,31,33,21,52,43,62,25,54,48,22,21,3,13,56,54,39,63,11,20,49,44,59,44,22,56,43,54,52,52,53,41,50,16,12,47,7,42,35,23,49,18,63,15,8,29,18,38,23,27,25,42,37,56,22,49,5,36,62,64,16,13,44,5,39,49,7,21,16,41,53,19,16,5,45,36,53,65,40,59,9,69,60,15,66,24,65,59,42,60,30,44,15,30,44,27,29,20,50,33,52,16,46,65,41,60,53,60,34,62,46,12,41,47,14,45,25,66,43,48,56,12,30,19,35,50,49,38,14,44,22,40,66,19,13,20,49,50,49,57,45,14,26,40,61,54,24,51,49,25,39,49,48,11,60,19,54,60,3,29,25,62,44,25,56,56,19,4,51,54,58,65,47,56,30,54,40,52,63,59,61,55,43,57,68,42,62,26,66,24,59,61,68,20,25,10,38,30,11,32,29,42,16,3,52,62,55,61,57,15,45,60,56,54,6,67,35,35,37,11,34,60,31,23,60,46,61,54,48,42,22,54,37,68,54,50,38,10,29
40,54,48,53,47,24,63,36,35,58,29,48,20,55,66,45,41,45,48,16,42,62,68,33,52,65,66,54,54,5,45,54,5,17,51,17,50,47,60,44,44,48,71,13,9,46,60,18,64,34,65,50,31,49,49,29,50,54,20,58,62,70,52,56,19,44,63,29,61,52,25,63,54,30,68,62,32,60,47,9,63,17,42,3,56,48,43,60,42,21,53,39,49,44,37,62,37,26,56,36,65,64,53,49,47,59,57,51,8,65,46,57,61,20,3,31,57,28,65,68,59,17,36,54,44,42,56,67,52,23,24,39,39,22,61,55,57,62,55,61,23,38,46,45,62,43,43,69,17,36,68,38,48,59,61,20,58,51,22,35,13,31,43,15,65,35,55,52,56,16,25,64,38,43,59,50,21,25,48,61,69,40,29,33,10,49,20,62,7,16,56,60,45,69,64,62,53,40,51,46,41,52,63,21,60,19,61,52,22,29,61,33,66,62,8,43,28,54,42,31,58,59,58,56,56,34,31,30,21,54,44,56,25,56,41,22,25,3,55,59,52,29,62,11,22,14,41,61,38,24,54,63,49,36,52,53,41,52,17,12,47,62,51,36,23,51,18,63,15,53,62,34,41,25,52,13,42,38,31,24,49,15,40,63,62,32,58,21,5,39,50,7,12,46,30,54,19,21,40,32,37,54,67,22,50,9,50,31,15,10,3,53,59,42,60,3,45,15,21,44,32,29,17,61,34,56,34,47,61,42,37,50,61,34,31,50,48,57,49,14,65,31,40,48,48,36,15,31,41,35,24,49,34,14,44,23,41,67,18,28,20,49,57,51,46,49,13,26,44,63,64,37,44,60,33,57,60,49,11,60,20,36,67,12,46,25,56,52,25,71,60,14,4,51,54,20,64,52,57,30,54,33,40,64,61,59,69,38,51,69,42,64,5,68,22,66,61,68,28,25,12,38,40,58,32,30,44,7,3,51,61,57,63,58,17,45,45,46,54,29,68,36,70,37,11,31,62,31,22,69,47,55,54,47,42,22,58,68,68,44,52,50,10,28
41,60,48,6,48,26,64,36,35,17,30,50,18,67,63,48,37,60,60,20,20,62,67,59,52,59,66,36,54,5,45,56,15,15,47,17,26,49,60,24,5,14,28,14,19,10,48,27,64,42,69,36,30,48,27,33,50,54,19,11,68,71,52,54,70,11,65,29,4,52,37,53,56,27,61,41,59,57,52,9,59,40,45,12,57,59,34,60,43,21,61,60,56,11,62,62,39,50,49,34,41,50,17,33,46,61,47,56,8,19,56,58,62,19,7,33,54,29,21,64,61,20,46,62,45,11,56,68,70,24,20,64,41,31,61,59,55,57,60,22,19,60,60,61,54,39,36,56,17,10,68,40,52,60,44,20,58,59,44,26,3,55,60,15,46,34,55,48,52,23,42,64,38,22,61,52,20,23,62,61,63,41,28,31,60,49,21,64,3,22,57,60,47,70,59,64,46,54,62,40,47,68,64,22,62,17,63,58,21,40,61,33,62,46,8,44,59,55,41,31,62,58,60,59,55,58,51,32,21,53,44,56,25,52,42,56,55,3,55,58,56,54,62,18,27,56,45,56,42,22,63,41,41,36,54,57,41,56,18,19,50,62,25,50,20,61,19,61,15,17,39,32,40,59,6,29,41,23,31,71,49,38,36,65,70,16,18,21,40,37,50,5,12,41,30,52,19,22,11,58,36,55,67,50,69,25,50,62,20,68,3,12,61,45,71,3,45,13,15,44,29,12,19,61,39,56,17,44,62,52,60,59,61,46,46,51,48,58,50,7,66,42,30,54,49,58,15,31,61,54,17,36,48,37,28,23,41,67,20,33,21,55,17,49,59,57,16,23,43,60,47,20,59,60,22,47,62,48,11,9,20,36,47,5,46,25,58,46,25,58,32,14,7,55,54,60,64,44,57,30,60,33,40,58,61,60,68,43,20,69,44,64,6,68,24,65,61,69,21,26,6,39,70,59,31,42,52,11,44,61,63,29,65,62,7,46,51,43,55,5,57,21,37,39,11,31,62,31,22,70,38,57,56,49,42,13,58,27,70,44,54,51,5,30
42,55,48,17,48,60,63,36,36,58,42,48,12,57,63,46,44,58,58,15,20,62,69,16,52,61,67,37,55,5,59,58,69,15,44,17,27,49,16,42,46,13,71,34,19,37,61,27,66,34,69,63,30,51,31,58,50,60,23,5,61,26,52,28,23,7,65,29,4,50,37,52,58,30,61,62,60,59,52,11,59,17,39,14,56,48,32,42,24,7,55,61,55,16,40,11,57,51,45,37,69,54,13,71,49,61,47,41,8,17,19,58,62,19,11,33,57,38,22,65,53,45,38,11,47,38,18,68,70,24,9,45,39,32,61,55,61,68,62,22,23,50,21,43,48,41,34,50,17,10,56,40,44,60,62,63,58,55,43,25,3,57,61,8,68,34,57,54,48,22,27,62,62,22,61,52,65,25,63,63,60,12,21,33,9,49,29,60,7,8,58,56,44,71,61,64,70,15,56,11,45,54,64,22,62,17,63,52,18,31,59,35,63,64,8,44,70,56,44,30,62,58,37,59,55,27,50,32,21,46,45,62,25,33,41,37,12,41,17,42,54,54,62,71,41,33,48,59,48,26,60,16,37,38,54,57,41,52,16,19,49,63,26,18,19,65,60,57,15,63,40,51,64,61,56,26,42,25,60,72,54,64,40,65,71,16,5,19,11,41,56,5,12,36,32,52,21,26,11,62,68,3,58,48,57,32,6,64,46,69,3,43,59,43,60,3,45,16,15,46,11,17,18,61,39,56,13,50,38,64,42,44,23,46,45,52,71,58,48,4,61,42,28,56,37,39,14,33,59,58,12,51,58,38,50,23,41,69,19,56,21,49,54,49,43,52,16,23,59,69,48,17,44,66,25,33,52,16,15,39,52,22,53,3,46,48,64,44,25,62,54,32,4,55,18,25,62,46,58,30,56,35,42,59,65,61,56,44,65,59,44,65,5,38,33,65,62,70,21,26,5,40,43,63,16,40,29,24,3,52,64,33,66,18,8,62,49,47,56,5,68,20,66,37,11,31,56,34,64,71,42,61,57,50,38,25,56,56,69,44,55,51,12,24
43,61,68,53,50,26,66,47,37,43,38,50,19,67,63,41,44,51,62,21,21,64,70,16,54,65,69,37,56,21,40,60,17,15,44,18,27,62,21,46,61,13,28,59,18,10,55,27,65,34,64,53,30,53,46,34,55,64,20,10,68,59,54,51,70,11,66,31,52,68,34,57,57,30,62,9,19,59,48,7,61,16,41,3,23,49,34,63,56,7,56,22,34,17,50,63,60,58,45,34,67,52,64,32,72,21,45,32,8,59,54,58,63,19,11,34,52,23,21,72,61,19,38,58,50,39,4,41,68,36,20,45,41,31,61,57,57,65,58,22,70,50,47,43,47,38,18,42,17,18,54,37,44,62,62,64,62,55,47,26,3,55,62,8,48,35,60,66,50,22,36,59,62,33,59,53,59,27,63,62,61,33,50,33,8,50,29,62,7,8,59,61,50,69,61,70,36,57,54,42,45,53,34,28,62,11,62,48,18,18,59,71,63,64,8,44,49,50,42,21,62,59,57,60,55,27,44,32,21,54,46,63,17,28,25,49,23,52,55,61,48,54,52,11,43,56,49,59,48,58,64,24,42,38,55,55,42,15,16,21,50,63,26,18,17,70,22,59,15,46,32,59,39,61,54,33,44,25,60,68,55,63,40,66,72,16,5,21,14,42,48,5,12,50,33,57,26,26,42,30,36,50,58,49,54,35,6,66,46,68,25,69,59,44,60,26,46,16,19,20,10,13,22,57,61,60,18,65,66,50,42,56,23,48,31,52,71,62,48,4,53,44,30,56,37,38,15,30,61,59,16,52,56,13,28,31,41,59,21,14,21,39,58,52,29,58,16,23,59,71,37,54,39,61,19,61,62,12,58,32,23,32,54,13,46,48,58,44,25,73,63,32,4,57,42,21,60,48,58,34,60,45,44,59,40,61,71,62,66,71,49,58,6,23,35,60,63,71,20,26,5,41,72,63,18,44,40,9,3,52,46,62,63,72,15,47,52,50,56,21,71,66,72,50,14,28,64,34,63,72,48,57,62,49,38,16,56,56,32,41,55,55,12,5
44,62,68,54,50,26,66,39,36,45,26,48,19,61,64,48,46,53,60,24,21,61,62,20,56,66,69,37,56,21,59,60,17,15,43,19,27,41,17,50,62,14,28,55,19,10,63,27,66,44,65,54,32,56,46,30,23,56,58,7,70,73,56,60,72,7,66,40,52,52,22,61,67,28,61,64,19,69,54,13,62,16,44,47,19,51,42,44,45,29,63,55,52,17,50,64,60,26,39,37,67,52,64,40,67,63,47,54,7,30,60,44,64,18,13,35,45,60,23,73,55,19,40,59,50,44,4,42,26,28,30,45,42,24,61,61,61,66,59,22,19,54,68,43,44,69,34,43,45,40,56,38,48,62,64,65,63,51,49,24,3,57,60,8,71,36,52,66,54,66,21,62,56,22,63,55,41,29,65,62,66,9,26,34,8,45,28,64,3,9,59,60,44,21,44,72,20,56,55,45,45,71,39,23,62,17,63,50,26,25,36,72,64,65,8,44,64,58,43,31,64,59,67,61,19,28,52,32,21,56,46,64,25,28,10,20,23,52,59,59,43,51,64,67,29,32,50,62,54,59,40,55,44,38,56,55,42,30,47,21,53,67,26,18,23,59,22,57,29,65,32,59,51,61,54,61,44,20,58,21,55,65,42,70,64,19,5,19,40,45,15,6,49,50,34,54,33,26,25,31,46,58,63,72,73,11,63,72,46,68,3,65,61,38,74,33,46,9,25,18,10,16,16,59,33,60,36,48,38,64,38,56,24,47,47,45,12,62,54,12,64,11,16,52,38,40,10,32,62,60,5,42,54,15,51,64,41,67,16,62,20,50,58,50,31,71,54,12,57,71,38,20,61,60,26,32,61,44,19,59,20,21,52,23,46,27,58,46,28,54,65,40,3,55,66,19,54,49,46,30,64,45,44,57,67,62,72,51,67,61,49,59,32,23,36,65,64,70,20,29,5,50,46,63,20,32,45,56,32,52,46,59,56,63,21,55,68,48,58,21,70,67,73,45,14,16,48,40,70,58,54,65,13,49,41,22,56,56,63,6,57,20,11,9
